ID,Nutrient,Important,is Macro,Unit,Advanced View,Order,Notes,Alternate Names,Type,Parent Nutrient
80b634b3-994a-4e5a-8766-3d8712c15595,Retinol,FALSE,FALSE,microgram,TRUE,66,,,Vitamin,
55a450c0-53d4-4abe-8614-3f84bf992f20,Vitamin C,TRUE,FALSE,miligram,TRUE,67,,,Vitamin,
e51e0555-bd31-43ec-87d6-b69ccf94fe8a,Vitamin D,TRUE,FALSE,microgram,FALSE,68,,,Vitamin,
9c98797f-1893-49f9-b6cd-2b50a53ac142,Vitamin E,TRUE,FALSE,miligram,TRUE,69,,,Vitamin,
d6e799a5-4c5c-40e3-8261-5879934cdb04,Beta Tocopherol,FALSE,FALSE,miligram,TRUE,70,,,Vitamin,Vitamin E
9bfabedc-3896-4077-9ec7-dac8879f209b,Delta Tocopherol,FALSE,FALSE,miligram,TRUE,71,,,Vitamin,Vitamin E
2dc26519-5dbb-479a-9aab-053ca3ed6d36,Gamma Tocopherol,FALSE,FALSE,miligram,TRUE,72,,,Vitamin,Vitamin E
41048c3d-57b4-4be8-a1e4-5068f86cecab,Vitamin K,FALSE,FALSE,microgram,TRUE,73,,,Vitamin,
1ebb60b1-0c43-42ee-a198-c89207fbea02,Calcium,FALSE,FALSE,miligram,FALSE,74,,,Mineral,
d2a6f60f-f0d2-4294-86a6-9469987dbf6c,Chloride,FALSE,FALSE,gram,TRUE,75,,,Mineral,
50b587d4-ee31-4536-9cc7-55db86600ca2,Chromium,FALSE,FALSE,microgram,TRUE,76,,,Mineral,
68a9025b-c83c-4dd6-a2e7-8148a87648b5,Copper,FALSE,FALSE,microgram,TRUE,77,,,Mineral,
312e0d59-b844-4af9-b8ac-609b46eb2e52,Fluoride,FALSE,FALSE,miligram,TRUE,78,,,Mineral,
ad20f4f1-97c9-423f-9b9d-b2fd3585526e,Iodine,FALSE,FALSE,microgram,TRUE,79,,,Mineral,
03d691c4-71c9-4ed9-adbe-30f6a642df08,Iron,FALSE,FALSE,miligram,FALSE,80,,,Mineral,
38615d24-cf5d-48b6-b71c-df60e97f5c15,Magnesium,TRUE,FALSE,miligram,TRUE,81,,,Mineral,
8bc0e4d9-c153-4127-8212-290a248cbc0f,Manganese,FALSE,FALSE,miligram,TRUE,82,,,Mineral,
5f985f64-be5e-492a-8325-e598966d26c9,Molybdenum,FALSE,FALSE,microgram,TRUE,83,,,Mineral,
9c39cb12-03c3-4870-a385-7ddf2bccb319,Phosphorus,FALSE,FALSE,miligram,TRUE,84,,,Mineral,
4e9d4a3e-b8a9-464f-856a-3268ddd47c27,Potassium,TRUE,FALSE,miligram,FALSE,85,,,Mineral,
8c659478-f2d1-41de-8c93-a1e5b436c17a,Selenium,FALSE,FALSE,microgram,TRUE,86,,,Mineral,
485b501a-0f5c-4a2e-8abb-b9f3dae79ada,Sodium,TRUE,FALSE,miligram,FALSE,87,,,Mineral,
2b29844f-7cca-4317-b88e-5ec1b8e78380,Zinc,FALSE,FALSE,miligram,TRUE,88,,,Mineral,
